"PO Priority","Title","Assignees","Status","Topic","Milestone"
"1","sim4life.io - WP1:  Web Presence",", ","In Progress","s4l:web","Pastel de Nata"
"2","sim4life.io - WP2: Product",,"In Progress","s4l:web","Pastel de Nata"
"3","sim4life.io - WP3: Tracking of resource usage",", , , , ","In Progress","resources","Pastel de Nata"
"4","sim4life.io - WP4: Computational backend",", , ","In Progress","s4l:web","Pastel de Nata"
"5","sim4life.io - WP5: Dynamic services backend",", , , ","In Progress","s4l:web","Pastel de Nata"
"6","sim4life.io - WP6: API",", ","In Progress","API","Pastel de Nata"
"7","sim4life.io -  WP7: Platform improvements",", ","In Progress",,"Pastel de Nata"
"8","sim4life.io - WP8: s4l:web",", , , ","In Progress","s4l:web","Pastel de Nata"
"9","M7 Pulling files from the Portal",", ","In Progress","portal","Pastel de Nata"
"10","M7 Create (Model) Service Section on the Portal",", , ","Resolved","portal","Pastel de Nata"
"11","metamodeling framework (functionality for cedric and mads)",", ","In Progress","metamodeling","Pastel de Nata"
"12","Organization of OSPARC User Workspace",", , ","In Progress","user request","Pastel de Nata"
"13","DRC & o2S API",", , ","In Progress","API","Pastel de Nata"
"14","TIP v2",", , ","In Progress","TIP","Pastel de Nata"
"15","Allow for dynamic number of input ports in dynamic services",", ","In Progress","user request","Pastel de Nata"
"16","improving dynamic-sidecar design",", , , , , , ","In Progress","dy-services","Pastel de Nata"
"17","notify sharer of studies when sharee does not have access to services inside study ",", ","In Progress","user request","Pastel de Nata"
"18","Clicking on logger while opening large study crashes the browser",", ","In Progress","user request","Pastel de Nata"
"19","user requests (10%)",,"Ongoing","user request","Pastel de Nata"
"20","M8 Attribute (& Charge) Resource Usage",,"Todo",,"Pastel de Nata"
"21","M1-12 Proactive onboarding of services and models",,"Ongoing","app","Pastel de Nata"
"22","M1-12 Maintenance and DevOps",", , , , , , ","Ongoing","maintenance","Pastel de Nata"
"23","M4 Launch Computational Study Parameters from Portal",", ","In Progress","API","Pastel de Nata"
"24","M4 Support MAP-Core for simulations on the Portal",", ","Ongoing","API","Pastel de Nata"
"25","M1-12 Portal development work ",", ","Ongoing","portal","Pastel de Nata"
"26","AppTeam Std Simulations on S4L/AWS",", , , , ","In Progress","z43","Pastel de Nata"
"27","personalizable resource limits",", , , ","In Progress","resources","Pastel de Nata"
"28","M9 SDS and cMIS (model-related metadata exposed on the Portal)",", , ","In Progress","portal","Pastel de Nata"
